die Bedingung,condition
der Benutzer,user
die Erlaubnis,permission
die Nachricht,message
verstehen,to understand
die Ausbildung,education / training
die Kenntnisse,skills / knowledge
der Vertrag,contract
das Gehalt,salary
die Bewerbung,application (job)
der Lebenslauf,resume
vorbereiten,to prepare
die Gelegenheit,opportunity
die Anforderung,requirement
die Bereitstellung,deployment
die Architektur,architecture
zuverlässig,reliable
die Sicherheit,security
das Netzwerk,network
löschen,to delete
speichern,to save
erklären,to explain
teilnehmen,to participate
unterstützen,to support
das Unternehmen,company
die Umgebung,environment
versuchen,to try
die Erfahrung,experience
die Lösung,solution
die Zukunft,future
die Entscheidung,decision
verbessern,to improve
das Ziel,goal
erfolgreich,successful
die Herausforderung,challenge
entwickeln,to develop
die Schnittstelle,interface
die Datenbank,database
der Fehler,error/bug
die Leistung,performance
die Eigenschaft,property/feature
der Zugriff,access
die Ausnahme,exception
die Variable,variable
die Funktion,function
der Zustand,state
das Ereignis,event
die Schleife,loop
die Bedingung,condition
der Speicher,memory
die Ausführung,execution
die Entwicklung,development
das Werkzeug,tool
der Bildschirm,screen
die Tastatur,keyboard
die Maus,mouse
das Passwort,password
das Konto,account
die Verbindung,connection
das Internet,internet
der Server,server
der Client,client
die Anfrage,request
die Antwort,response
das Protokoll,protocol
die Verschlüsselung,encryption
die Entschlüsselung,decryption
das Zertifikat,certificate
die Signatur,signature
die Firewall,firewall
der Virus,virus
der Trojaner,trojan
der Angriff,attack
die Abwehr,defense
die Schwachstelle,vulnerability
der Patch,patch
das Update,update
die Version,version
das System,system
die Plattform,platform
die Architektur,architecture
das Design,design
das Muster,pattern
die Regel,rule
das Gesetz,law
die Vorschrift,regulation
die Norm,standard
das Verfahren,procedure
der Prozess,process
der Ablauf,flow/sequence
der Schritt,step
die Phase,phase
der Meilenstein,milestone
das Projekt,project
das Team,team
die Rolle,role
die Aufgabe,task
das Ticket,ticket
der Bericht,report
die Besprechung,meeting
das Protokoll,minutes (meeting)
die Präsentation,presentation
der Kunde,customer
der Benutzer,user
der Administrator,administrator
die Berechtigung,authorization
die Rolle,role
die Gruppe,group
die Richtlinie,policy
die Konfiguration,configuration
die Einstellung,setting
die Option,option
der Wert,value
der Parameter,parameter
das Argument,argument
die Variable,variable
der Datentyp,data type
die Klasse,class
das Objekt,object
die Methode,method
die Funktion,function
der Aufruf,call
die Rückgabe,return
der Fehler,error
die Ausnahme,exception
der Test,test
die Überprüfung,verification
die Validierung,validation
